1/FR-14118-CAENN-DRAC-S1-X;14/FR-14118-CAENN-DRAC-S1-X
1/FR-14118-CAENN-STJEAN1-T;14/FR-14118-CAENN-STJEAN1-T
1/FR-14118-CAENN-STJULI1-X;14/FR-14118-CAENN-STJULI1-X
1/FR-14118-CAENN-STMICH1-X;14/FR-14118-CAENN-STMICH1-X
1/FR-14118-CAENN-STPIER1-C;14/FR-14118-CAENN-STPIER1-C
1/FR-14118-CAENN-STPIER1-T;14/FR-14118-CAENN-STPIER1-T
1/FR-26362-VALEN-NDAMEV1-X;26/FR-26362-VALEN-NDAMEV1-X
1/FR-29117-LANNI-SSPEPL1-X;29/FR-29117-LANNI-SSPEPL1-X
1/FR-35238-RENNE-STGERM1-T;35/FR-35238-RENNE-STGERM1-T
1/FR-35288-SSMAL-MUSIQU1-X;35/FR-35288-SSMAL-MUSIQU1-X
1/FR-35288-SSMAL-STVINC1-C;35/FR-35288-SSMAL-STVINC1-C
1/FR-35288-SSMAL-STVINC1-T;35/FR-35288-SSMAL-STVINC1-T
1/FR-50099-C_MAR-NDAMEV1-X;50/FR-50099-C_MAR-NDAMEV1-X
1/FR-50341-MTEBO-NDETOI1-X;50/FR-50341-MTEBO-NDETOI1-X
1/FR-50426-R_PLA-STLAUR1-X;50/FR-50426-R_PLA-STLAUR1-X
1/FR-50478-SSTOU-STGERM1-X;50/FR-50478-SSTOU-STGERM1-X
1/FR-50615-VALOG-STMALO1-X;50/FR-50615-VALOG-STMALO1-X
1/FR-56007-AURAY-STGILD1-X;50/FR-56007-AURAY-STGILD1-X
1/FR-56121-LORIE-STLOUI1-C;56/FR-56121-LORIE-STLOUI1-C
1/FR-56121-LORIE-STLOUI1-T;56/FR-56121-LORIE-STLOUI1-T
